Date,ADA,WMT
03/25/2022,1.097888,0.7396471456
03/26/2022,1.150594,0.7417879518
03/27/2022,1.182148,0.757756868
03/28/2022,1.170184,0.7283225216
03/29/2022,1.191112,0.7249107632
03/30/2022,1.190385,0.7026842655
03/31/2022,1.141851,0.6635296161
04/01/2022,1.165425,0.660329805
04/02/2022,1.156007,0.6547623648
04/03/2022,1.185941,0.6648385246
04/04/2022,1.212945,0.6912573555
04/05/2022,1.170801,0.669698172
04/06/2022,1.052771,0.6100807945
04/07/2022,1.091894,0.6220520118
04/08/2022,1.026326,0.5960901408
04/09/2022,1.045015,0.59983861
04/10/2022,1.030885,0.589253866
04/11/2022,0.92045,0.538371205
04/12/2022,0.955145,0.565636869
04/13/2022,0.974696,0.5808213464
04/14/2022,0.932412,0.5648551896
04/15/2022,0.954717,0.5822818983
04/16/2022,0.95264,0.583873056
04/17/2022,0.917466,0.564700323
04/18/2022,0.93673,0.5714053
04/19/2022,0.953333,0.5687584678
04/20/2022,0.937341,0.5462823348
04/21/2022,0.910474,0.5237956922
04/22/2022,0.907154,0.5119070022
04/23/2022,0.888503,0.5019153447
04/24/2022,0.88635,0.47791992
04/25/2022,0.898695,0.4799929995
04/26/2022,0.827645,0.43865185
04/27/2022,0.840595,0.447700897
04/28/2022,0.84395,0.444508465
04/29/2022,0.805043,0.4176563084
04/30/2022,0.75666,0.391722882
05/01/2022,0.790344,0.4061577816
05/02/2022,0.781529,0.3995957777
05/03/2022,0.771145,0.385418271
05/04/2022,0.896942,0.4190513024
05/05/2022,0.791152,0.386873328
05/06/2022,0.783359,0.3815741689
05/07/2022,0.761882,0.3811695646
05/08/2022,0.739563,0.3735532713
05/09/2022,0.610088,0.3044949208
05/10/2022,0.628963,0.3149846704
05/11/2022,0.5128,0.25363088
05/12/2022,0.473746,0.2185390298
05/13/2022,0.528877,0.242225666
05/14/2022,0.539358,0.2436819444
05/15/2022,0.5975,0.268636
05/16/2022,0.556716,0.2508562296
05/17/2022,0.578077,0.2603080731
05/18/2022,0.505615,0.2312177395
05/19/2022,0.533321,0.2439943575
05/20/2022,0.517907,0.2353887315
05/21/2022,0.528314,0.2405413642
05/22/2022,0.542618,0.246077263
05/23/2022,0.512605,0.23784872
05/24/2022,0.521224,0.2450274024
05/25/2022,0.513877,0.2365889708
05/26/2022,0.480883,0.219763531
05/27/2022,0.455507,0.2146804491
05/28/2022,0.464764,0.2203910888
05/29/2022,0.481126,0.2293527642
05/30/2022,0.570073,0.278765697
05/31/2022,0.625254,0.3061243584
06/01/2022,0.55275,0.275877525
06/02/2022,0.587795,0.298834978
06/03/2022,0.559658,0.2828511532
06/04/2022,0.566069,0.2842232449
06/05/2022,0.56709,0.28297791
06/06/2022,0.609328,0.2989363168
06/07/2022,0.615445,0.309322657
06/08/2022,0.641614,0.3162515406
06/09/2022,0.63292,0.314497948
06/10/2022,0.574216,0.2851556656
06/11/2022,0.552777,0.2724637833
06/12/2022,0.496861,0.2472877197
06/13/2022,0.463133,0.225082638
06/14/2022,0.484386,0.2435977194
06/15/2022,0.533296,0.2641415088
06/16/2022,0.475022,0.2345183614
06/17/2022,0.487392,0.24004056
06/18/2022,0.456182,0.2191042146
06/19/2022,0.484364,0.2327853384
06/20/2022,0.492261,0.2359406973
06/21/2022,0.479204,0.2325097808
06/22/2022,0.458568,0.2176363728
06/23/2022,0.480292,0.2258813276
06/24/2022,0.499224,0.2359332624
06/25/2022,0.498946,0.2358018796
06/26/2022,0.489653,0.2319486261
06/27/2022,0.48579,0.230361618
06/28/2022,0.469671,0.2209332384
06/29/2022,0.465509,0.2152513616
06/30/2022,0.458849,0.2126306266
07/01/2022,0.448089,0.2149482933
07/02/2022,0.456351,0.2171318058
07/03/2022,0.455587,0.2178617034
07/04/2022,0.469644,0.2223294696
07/05/2022,0.457632,0.2154073824
07/06/2022,0.462179,0.2134804801
07/07/2022,0.477812,0.219554614
07/08/2022,0.467311,0.2108507232
07/09/2022,0.47876,0.211899176
07/10/2022,0.46322,0.20566968
07/11/2022,0.43552,0.19554848
07/12/2022,0.417928,0.185560032
07/13/2022,0.438108,0.188605494
07/14/2022,0.441025,0.1910079275
07/15/2022,0.442456,0.1896366416
07/16/2022,0.45723,0.196243116
07/17/2022,0.447353,0.1909302604
07/18/2022,0.492543,0.212778576
07/19/2022,0.515768,0.2221928544
07/20/2022,0.491043,0.217532049
07/21/2022,0.500098,0.2228436688
07/22/2022,0.483946,0.2169529918
07/23/2022,0.517368,0.2310565488
07/24/2022,0.513814,0.2329118862
07/25/2022,0.47625,0.22469475
07/26/2022,0.467607,0.2256671382
07/27/2022,0.510553,0.2478224262
07/28/2022,0.513328,0.2491694112
07/29/2022,0.523335,0.2496831285
07/30/2022,0.525576,0.238611504
07/31/2022,0.51702,0.212598624
08/01/2022,0.514123,0.210276307
08/02/2022,0.496833,0.2050926624
08/03/2022,0.500988,0.2095131816
08/04/2022,0.499668,0.2110097964
08/05/2022,0.517503,0.2186450175
08/06/2022,0.511256,0.2153410272
08/07/2022,0.52747,0.223278051
08/08/2022,0.536596,0.22537032
08/09/2022,0.514052,0.2166215128
08/10/2022,0.537093,0.2275663041
08/11/2022,0.531258,0.2225439762
08/12/2022,0.540753,0.2274947871
08/13/2022,0.559813,0.2309228625
08/14/2022,0.570343,0.2342969044
08/15/2022,0.551171,0.2303343609
08/16/2022,0.557915,0.2337105935
08/17/2022,0.537038,0.230657821
08/18/2022,0.512633,0.2202784001
08/19/2022,0.45098,0.202670412
08/20/2022,0.451388,0.2046141804
08/21/2022,0.463546,0.2101717564
08/22/2022,0.461446,0.2095426286
08/23/2022,0.465207,0.2133439302
08/24/2022,0.458109,0.2063781045
08/25/2022,0.464999,0.2092030501
08/26/2022,0.430863,0.1908292227
08/27/2022,0.449703,0.1959805674
08/28/2022,0.430049,0.1881034326
08/29/2022,0.450703,0.2003825538
08/30/2022,0.452169,0.2006726022
08/31/2022,0.446665,0.1981852605
09/01/2022,0.457481,0.2080166107
09/02/2022,0.454559,0.2039606233
09/03/2022,0.480387,0.2140604472
09/04/2022,0.503084,0.2274945848
09/05/2022,0.499121,0.2285475059
09/06/2022,0.463066,0.2103708838
09/07/2022,0.479282,0.2139035566
09/08/2022,0.479274,0.2106888504
09/09/2022,0.50292,0.221737428
09/10/2022,0.512422,0.226234313
09/11/2022,0.509752,0.2262279376
09/12/2022,0.501546,0.2180722008
09/13/2022,0.468881,0.2080424997
09/14/2022,0.481376,0.2171487136
09/15/2022,0.465644,0.2153137856
09/16/2022,0.474126,0.21572733
09/17/2022,0.487156,0.2193663468
09/18/2022,0.447186,0.2064210576
09/19/2022,0.453504,0.2104712064
09/20/2022,0.441899,0.2042899077
09/21/2022,0.441159,0.2009038086
09/22/2022,0.458966,0.199191244
09/23/2022,0.461821,0.1991372152
09/24/2022,0.4516,0.20127812
09/25/2022,0.446188,0.1994014172
09/26/2022,0.446757,0.197019837
09/27/2022,0.44189,0.194299033
09/28/2022,0.43729,0.198223557
09/29/2022,0.43817,0.197264134
09/30/2022,0.434414,0.196355128
10/01/2022,0.430293,0.1946215239
10/02/2022,0.419633,0.1889187766
10/03/2022,0.427998,0.1927274994
10/04/2022,0.435765,0.19435119
10/05/2022,0.431273,0.1950216506
10/06/2022,0.428687,0.1917088264
10/07/2022,0.42432,0.191707776
10/08/2022,0.421736,0.1901185888
10/09/2022,0.423072,0.189959328
10/10/2022,0.401801,0.1782389236
10/11/2022,0.39054,0.175625838
10/12/2022,0.3813,0.17154687
10/13/2022,0.377638,0.1673691616
10/14/2022,0.366851,0.1649362096
10/15/2022,0.363744,0.1599018624
10/16/2022,0.370281,0.161442516
10/17/2022,0.372345,0.165395649
10/18/2022,0.36182,0.160684262
10/19/2022,0.350032,0.158214464
10/20/2022,0.340254,0.1543732398
10/21/2022,0.349077,0.1564214037
10/22/2022,0.351409,0.1573609502
10/23/2022,0.362099,0.1624376114
10/24/2022,0.357857,0.1618587211
10/25/2022,0.401988,0.1834673232
10/26/2022,0.403492,0.176326004
10/27/2022,0.388697,0.1658181402
10/28/2022,0.404507,0.170297447
10/29/2022,0.419778,0.172318869
10/30/2022,0.406047,0.1655453619
10/31/2022,0.406336,0.171473792
11/01/2022,0.401402,0.1771387026
11/02/2022,0.386076,0.1707228072
11/03/2022,0.38942,0.167100122
11/04/2022,0.421525,0.177293415
11/05/2022,0.426735,0.181447722
11/06/2022,0.403005,0.1774431015
11/07/2022,0.404259,0.1808250507
11/08/2022,0.371834,0.166953466
11/09/2022,0.317837,0.1363838567
11/10/2022,0.368977,0.1582542353
11/11/2022,0.354667,0.1523649432
11/12/2022,0.339144,0.1463745504
11/13/2022,0.330127,0.1428789656
11/14/2022,0.331849,0.1434583227
11/15/2022,0.337009,0.1448801691
11/16/2022,0.332382,0.1421265432
11/17/2022,0.324859,0.1397218559
11/18/2022,0.326221,0.1393942333
11/19/2022,0.328512,0.1405374336
11/20/2022,0.312307,0.1335424732
11/21/2022,0.304548,0.1307424564
11/22/2022,0.311922,0.1393355574
11/23/2022,0.318317,0.1400913117
11/24/2022,0.316458,0.1407288726
11/25/2022,0.314989,0.140170105
11/26/2022,0.31379,0.139887582
11/27/2022,0.312454,0.1396356926
11/28/2022,0.3067,0.14123535
11/29/2022,0.309372,0.1441054776
11/30/2022,0.318883,0.1548176965
12/01/2022,0.314484,0.1553236476
12/02/2022,0.319407,0.1676247936
12/03/2022,0.319654,0.1725811946
12/04/2022,0.32275,0.173349025
12/05/2022,0.319517,0.1706540297
12/06/2022,0.318464,0.1720342528
12/07/2022,0.31032,0.16617636
12/08/2022,0.314843,0.1713690449
12/09/2022,0.311677,0.1712665115
12/10/2022,0.312606,0.1718707788
12/11/2022,0.307711,0.1774877048
12/12/2022,0.306949,0.1784601486
12/13/2022,0.312865,0.180648251
12/14/2022,0.308134,0.1799194426
12/15/2022,0.300201,0.1799104593
12/16/2022,0.26407,0.158389186
12/17/2022,0.2669,0.1609407
12/18/2022,0.266335,0.1583361575
12/19/2022,0.252944,0.1517158112
12/20/2022,0.259007,0.1557150084
12/21/2022,0.253154,0.1567782722
12/22/2022,0.256523,0.1544781506
12/23/2022,0.259429,0.1504428771
12/24/2022,0.259368,0.150303756
12/25/2022,0.25927,0.15608054
12/26/2022,0.265297,0.1582761902
12/27/2022,0.26037,0.156117852
12/28/2022,0.248378,0.151262202
12/29/2022,0.24414,0.149975202
12/30/2022,0.245557,0.1499125485
12/31/2022,0.246466,0.1472141418
01/01/2023,0.249771,0.1538339589
01/02/2023,0.253828,0.1516368472
01/03/2023,0.252796,0.1532449352
01/04/2023,0.267677,0.1640056979
01/05/2023,0.269102,0.1627528896
01/06/2023,0.278652,0.1768325592
01/07/2023,0.277105,0.185715771
01/08/2023,0.295218,0.2021652864
01/09/2023,0.317102,0.208494565
01/10/2023,0.322496,0.2028177344
01/11/2023,0.322749,0.203977368
01/12/2023,0.329758,0.2026033152
01/13/2023,0.345771,0.2034862335
01/14/2023,0.352552,0.2070537896
01/15/2023,0.350368,0.2010761952
01/16/2023,0.35004,0.191331864
01/17/2023,0.345761,0.1848784067
01/18/2023,0.326835,0.1709673885
01/19/2023,0.339099,0.1737204177
01/20/2023,0.364586,0.1853555224
01/21/2023,0.369026,0.1851034416
01/22/2023,0.376594,0.1872801962
01/23/2023,0.375504,0.1850108208
01/24/2023,0.359297,0.1822713681
01/25/2023,0.37341,0.180170325
01/26/2023,0.380059,0.1839865619
01/27/2023,0.388979,0.2013355304
01/28/2023,0.382351,0.1985931094
01/29/2023,0.396313,0.205290134
01/30/2023,0.372511,0.1853242225
01/31/2023,0.390926,0.1912019066
02/01/2023,0.397243,0.1908355372
02/02/2023,0.397563,0.1874111982
02/03/2023,0.404336,0.1875310368
02/04/2023,0.399726,0.1825148916
02/05/2023,0.392472,0.1876408632
02/06/2023,0.382421,0.189680816
02/07/2023,0.39921,0.210144144
02/08/2023,0.394033,0.2022571389
02/09/2023,0.362531,0.1840569887
02/10/2023,0.358635,0.191080728
02/11/2023,0.369202,0.1922804016
02/12/2023,0.364296,0.1892153424
02/13/2023,0.359627,0.1845605764
02/14/2023,0.386441,0.1898198192
02/15/2023,0.418115,0.203705628
02/16/2023,0.387902,0.1932915666
02/17/2023,0.403943,0.1997902078
02/18/2023,0.406331,0.197883197
02/19/2023,0.400107,0.199253286
02/20/2023,0.404003,0.2013146949
02/21/2023,0.392417,0.2003681202
02/22/2023,0.388921,0.1997887177
02/23/2023,0.383023,0.1978313795
02/24/2023,0.365819,0.1926402854
02/25/2023,0.362364,0.1918355016
02/26/2023,0.368973,0.1923087276
02/27/2023,0.364899,0.1917544245
02/28/2023,0.352454,0.1893735342
03/01/2023,0.360356,0.1949165604
03/02/2023,0.350206,0.1988819874
03/03/2023,0.342737,0.1941262368
03/04/2023,0.336499,0.1939580236
03/05/2023,0.337102,0.1930583154
03/06/2023,0.330821,0.1911152917
03/07/2023,0.330483,0.1881109236
03/08/2023,0.317577,0.1809553746
03/09/2023,0.309678,0.1755254904
03/10/2023,0.315342,0.1751094126
03/11/2023,0.307327,0.1735782896
03/12/2023,0.331539,0.1807882167
03/13/2023,0.344585,0.1874197815
03/14/2023,0.344308,0.1875101368
03/15/2023,0.324637,0.1804007809
03/16/2023,0.325383,0.1799042607
03/17/2023,0.350524,0.1830436328
03/18/2023,0.337711,0.1766903952
03/19/2023,0.34601,0.1764651
03/20/2023,0.332595,0.173947185
03/21/2023,0.371236,0.1883651464
03/22/2023,0.360613,0.1837683848
03/23/2023,0.372045,0.1881431565
03/24/2023,0.360083,0.1856227865
03/25/2023,0.351996,0.1839883092
03/26/2023,0.356245,0.1849267795
03/27/2023,0.34551,0.182256525
03/28/2023,0.368354,0.1886709188
03/29/2023,0.381589,0.1967472884
03/30/2023,0.376459,0.1916552769
03/31/2023,0.398923,0.1956318392
04/01/2023,0.385388,0.1847164684
04/02/2023,0.381753,0.1812181491
04/03/2023,0.387139,0.1803293462
04/04/2023,0.389683,0.1796828313
04/05/2023,0.392364,0.1762499088
04/06/2023,0.38321,0.17359413
04/07/2023,0.383643,0.1765908729
