Date,WMT
03/25/2022,0.6737
03/26/2022,0.6447
03/27/2022,0.641
03/28/2022,0.6224
03/29/2022,0.6086
03/30/2022,0.5903
03/31/2022,0.5811
04/01/2022,0.5666
04/02/2022,0.5664
04/03/2022,0.5606
04/04/2022,0.5699
04/05/2022,0.572
04/06/2022,0.5795
04/07/2022,0.5697
04/08/2022,0.5808
04/09/2022,0.574
04/10/2022,0.5716
04/11/2022,0.5849
04/12/2022,0.5922
04/13/2022,0.5959
04/14/2022,0.6058
04/15/2022,0.6099
04/16/2022,0.6129
04/17/2022,0.6155
04/18/2022,0.61
04/19/2022,0.5966
04/20/2022,0.5828
04/21/2022,0.5753
04/22/2022,0.5643
04/23/2022,0.5649
04/24/2022,0.5392
04/25/2022,0.5341
04/26/2022,0.53
04/27/2022,0.5326
04/28/2022,0.5267
04/29/2022,0.5188
04/30/2022,0.5177
05/01/2022,0.5139
05/02/2022,0.5113
05/03/2022,0.4998
05/04/2022,0.4672
05/05/2022,0.489
05/06/2022,0.4871
05/07/2022,0.5003
05/08/2022,0.5051
05/09/2022,0.4991
05/10/2022,0.5008
05/11/2022,0.4946
05/12/2022,0.4613
05/13/2022,0.458
05/14/2022,0.4518
05/15/2022,0.4496
05/16/2022,0.4506
05/17/2022,0.4503
05/18/2022,0.4573
05/19/2022,0.4575
05/20/2022,0.4545
05/21/2022,0.4553
05/22/2022,0.4535
05/23/2022,0.464
05/24/2022,0.4701
05/25/2022,0.4604
05/26/2022,0.457
05/27/2022,0.4713
05/28/2022,0.4742
05/29/2022,0.4767
05/30/2022,0.489
05/31/2022,0.4896
06/01/2022,0.4991
06/02/2022,0.5084
06/03/2022,0.5054
06/04/2022,0.5021
06/05/2022,0.499
06/06/2022,0.4906
06/07/2022,0.5026
06/08/2022,0.4929
06/09/2022,0.4969
06/10/2022,0.4966
06/11/2022,0.4929
06/12/2022,0.4977
06/13/2022,0.486
06/14/2022,0.5029
06/15/2022,0.4953
06/16/2022,0.4937
06/17/2022,0.4925
06/18/2022,0.4803
06/19/2022,0.4806
06/20/2022,0.4793
06/21/2022,0.4852
06/22/2022,0.4746
06/23/2022,0.4703
06/24/2022,0.4726
06/25/2022,0.4726
06/26/2022,0.4737
06/27/2022,0.4742
06/28/2022,0.4704
06/29/2022,0.4624
06/30/2022,0.4634
07/01/2022,0.4797
07/02/2022,0.4758
07/03/2022,0.4782
07/04/2022,0.4734
07/05/2022,0.4707
07/06/2022,0.4619
07/07/2022,0.4595
07/08/2022,0.4512
07/09/2022,0.4426
07/10/2022,0.444
07/11/2022,0.449
07/12/2022,0.444
07/13/2022,0.4305
07/14/2022,0.4331
07/15/2022,0.4286
07/16/2022,0.4292
07/17/2022,0.4268
07/18/2022,0.432
07/19/2022,0.4308
07/20/2022,0.443
07/21/2022,0.4456
07/22/2022,0.4483
07/23/2022,0.4466
07/24/2022,0.4533
07/25/2022,0.4718
07/26/2022,0.4826
07/27/2022,0.4854
07/28/2022,0.4854
07/29/2022,0.4771
07/30/2022,0.454
07/31/2022,0.4112
08/01/2022,0.409
08/02/2022,0.4128
08/03/2022,0.4182
08/04/2022,0.4223
08/05/2022,0.4225
08/06/2022,0.4212
08/07/2022,0.4233
08/08/2022,0.42
08/09/2022,0.4214
08/10/2022,0.4237
08/11/2022,0.4189
08/12/2022,0.4207
08/13/2022,0.4125
08/14/2022,0.4108
08/15/2022,0.4179
08/16/2022,0.4189
08/17/2022,0.4295
08/18/2022,0.4297
08/19/2022,0.4494
08/20/2022,0.4533
08/21/2022,0.4534
08/22/2022,0.4541
08/23/2022,0.4586
08/24/2022,0.4505
08/25/2022,0.4499
08/26/2022,0.4429
08/27/2022,0.4358
08/28/2022,0.4374
08/29/2022,0.4446
08/30/2022,0.4438
08/31/2022,0.4437
09/01/2022,0.4547
09/02/2022,0.4487
09/03/2022,0.4456
09/04/2022,0.4522
09/05/2022,0.4579
09/06/2022,0.4543
09/07/2022,0.4463
09/08/2022,0.4396
09/09/2022,0.4409
09/10/2022,0.4415
09/11/2022,0.4438
09/12/2022,0.4348
09/13/2022,0.4437
09/14/2022,0.4511
09/15/2022,0.4624
09/16/2022,0.455
09/17/2022,0.4503
09/18/2022,0.4616
09/19/2022,0.4641
09/20/2022,0.4623
09/21/2022,0.4554
09/22/2022,0.434
09/23/2022,0.4312
09/24/2022,0.4457
09/25/2022,0.4469
09/26/2022,0.441
09/27/2022,0.4397
09/28/2022,0.4533
09/29/2022,0.4502
09/30/2022,0.452
10/01/2022,0.4523
10/02/2022,0.4502
10/03/2022,0.4503
10/04/2022,0.446
10/05/2022,0.4522
10/06/2022,0.4472
10/07/2022,0.4518
10/08/2022,0.4508
10/09/2022,0.449
10/10/2022,0.4436
10/11/2022,0.4497
10/12/2022,0.4499
10/13/2022,0.4432
10/14/2022,0.4496
10/15/2022,0.4396
10/16/2022,0.436
10/17/2022,0.4442
10/18/2022,0.4441
10/19/2022,0.452
10/20/2022,0.4537
10/21/2022,0.4481
10/22/2022,0.4478
10/23/2022,0.4486
10/24/2022,0.4523
10/25/2022,0.4564
10/26/2022,0.437
10/27/2022,0.4266
10/28/2022,0.421
10/29/2022,0.4105
10/30/2022,0.4077
10/31/2022,0.422
11/01/2022,0.4413
11/02/2022,0.4422
11/03/2022,0.4291
11/04/2022,0.4206
11/05/2022,0.4252
11/06/2022,0.4403
11/07/2022,0.4473
11/08/2022,0.449
11/09/2022,0.4291
11/10/2022,0.4289
11/11/2022,0.4296
11/12/2022,0.4316
11/13/2022,0.4328
11/14/2022,0.4323
11/15/2022,0.4299
11/16/2022,0.4276
11/17/2022,0.4301
11/18/2022,0.4273
11/19/2022,0.4278
11/20/2022,0.4276
11/21/2022,0.4293
11/22/2022,0.4467
11/23/2022,0.4401
11/24/2022,0.4447
11/25/2022,0.445
11/26/2022,0.4458
11/27/2022,0.4469
11/28/2022,0.4605
11/29/2022,0.4658
11/30/2022,0.4855
12/01/2022,0.4939
12/02/2022,0.5248
12/03/2022,0.5399
12/04/2022,0.5371
12/05/2022,0.5341
12/06/2022,0.5402
12/07/2022,0.5355
12/08/2022,0.5443
12/09/2022,0.5495
12/10/2022,0.5498
12/11/2022,0.5768
12/12/2022,0.5814
12/13/2022,0.5774
12/14/2022,0.5839
12/15/2022,0.5993
12/16/2022,0.5998
12/17/2022,0.603
12/18/2022,0.5945
12/19/2022,0.5998
12/20/2022,0.6012
12/21/2022,0.6193
12/22/2022,0.6022
12/23/2022,0.5799
12/24/2022,0.5795
12/25/2022,0.602
12/26/2022,0.5966
12/27/2022,0.5996
12/28/2022,0.609
12/29/2022,0.6143
12/30/2022,0.6105
12/31/2022,0.5973
01/01/2023,0.6159
01/02/2023,0.5974
01/03/2023,0.6062
01/04/2023,0.6127
01/05/2023,0.6048
01/06/2023,0.6346
01/07/2023,0.6702
01/08/2023,0.6848
01/09/2023,0.6575
01/10/2023,0.6289
01/11/2023,0.632
01/12/2023,0.6144
01/13/2023,0.5885
01/14/2023,0.5873
01/15/2023,0.5739
01/16/2023,0.5466
01/17/2023,0.5347
01/18/2023,0.5231
01/19/2023,0.5123
01/20/2023,0.5084
01/21/2023,0.5016
01/22/2023,0.4973
01/23/2023,0.4927
01/24/2023,0.5073
01/25/2023,0.4825
01/26/2023,0.4841
01/27/2023,0.5176
01/28/2023,0.5194
01/29/2023,0.518
01/30/2023,0.4975
01/31/2023,0.4891
02/01/2023,0.4804
02/02/2023,0.4714
02/03/2023,0.4638
02/04/2023,0.4566
02/05/2023,0.4781
02/06/2023,0.496
02/07/2023,0.5264
02/08/2023,0.5133
02/09/2023,0.5077
02/10/2023,0.5328
02/11/2023,0.5208
02/12/2023,0.5194
02/13/2023,0.5132
02/14/2023,0.4912
02/15/2023,0.4872
02/16/2023,0.4983
02/17/2023,0.4946
02/18/2023,0.487
02/19/2023,0.498
02/20/2023,0.4983
02/21/2023,0.5106
02/22/2023,0.5137
02/23/2023,0.5165
02/24/2023,0.5266
02/25/2023,0.5294
02/26/2023,0.5212
02/27/2023,0.5255
02/28/2023,0.5373
03/01/2023,0.5409
03/02/2023,0.5679
03/03/2023,0.5664
03/04/2023,0.5764
03/05/2023,0.5727
03/06/2023,0.5777
03/07/2023,0.5692
03/08/2023,0.5698
03/09/2023,0.5668
03/10/2023,0.5553
03/11/2023,0.5648
03/12/2023,0.5453
03/13/2023,0.5439
03/14/2023,0.5446
03/15/2023,0.5557
03/16/2023,0.5529
03/17/2023,0.5222
03/18/2023,0.5232
03/19/2023,0.51
03/20/2023,0.523
03/21/2023,0.5074
03/22/2023,0.5096
03/23/2023,0.5057
03/24/2023,0.5155
03/25/2023,0.5227
03/26/2023,0.5191
03/27/2023,0.5275
03/28/2023,0.5122
03/29/2023,0.5156
03/30/2023,0.5091
03/31/2023,0.4904
04/01/2023,0.4793
04/02/2023,0.4747
04/03/2023,0.4658
04/04/2023,0.4611
04/05/2023,0.4492
04/06/2023,0.453
04/07/2023,0.4603
04/08/2023,0.4538
04/09/2023,0.4418
04/10/2023,0.4399
04/11/2023,0.445
04/12/2023,0.4365
04/13/2023,0.422
04/14/2023,0.4124
04/15/2023,0.4077
04/16/2023,0.4078
04/17/2023,0.4098
04/18/2023,0.399
04/19/2023,0.4125
04/20/2023,0.4141
04/21/2023,0.4196
04/22/2023,0.4058
04/23/2023,0.4026
04/24/2023,0.4005
04/25/2023,0.3926
04/26/2023,0.393
04/27/2023,0.3803
04/28/2023,0.3723
04/29/2023,0.359
04/30/2023,0.3435
05/01/2023,0.3792
05/02/2023,0.3804
05/03/2023,0.3809
05/04/2023,0.3928
05/05/2023,0.386
05/06/2023,0.4054
05/07/2023,0.3996
05/08/2023,0.3974
05/09/2023,0.3948
05/10/2023,0.3848
05/11/2023,0.3873
05/12/2023,0.3818
05/13/2023,0.3788
05/14/2023,0.3756
05/15/2023,0.3716
05/16/2023,0.3674
05/17/2023,0.3588
05/18/2023,0.3602
05/19/2023,0.358
05/20/2023,0.359
05/21/2023,0.3641
05/22/2023,0.355
05/23/2023,0.3582
05/24/2023,0.3653
05/25/2023,0.3659
05/26/2023,0.3581
05/27/2023,0.3581
05/28/2023,0.3476
05/29/2023,0.3467
05/30/2023,0.3556
05/31/2023,0.3613
06/01/2023,0.3672
06/02/2023,0.374
06/03/2023,0.3981
06/04/2023,0.4027
06/05/2023,0.3993
06/06/2023,0.4116
06/07/2023,0.4203
06/08/2023,0.4221
06/09/2023,0.4277
06/10/2023,0.4233
06/11/2023,0.4057
06/12/2023,0.4014
06/13/2023,0.4016
06/14/2023,0.4091
06/15/2023,0.4015
06/16/2023,0.4029
06/17/2023,0.3934
06/18/2023,0.3969
06/19/2023,0.3896
06/20/2023,0.3808
06/21/2023,0.3764
06/22/2023,0.3836
06/23/2023,0.3933
06/24/2023,0.3968
06/25/2023,0.3997
06/26/2023,0.3971
06/27/2023,0.3886
06/28/2023,0.3874
06/29/2023,0.3809
06/30/2023,0.3875
07/01/2023,0.3918
07/02/2023,0.3889
07/03/2023,0.3886
07/04/2023,0.3889
07/05/2023,0.3814
07/06/2023,0.3799
07/07/2023,0.3782
07/08/2023,0.3688
07/09/2023,0.3743
07/10/2023,0.3708
07/11/2023,0.3696
07/12/2023,0.3761
07/13/2023,0.4111
07/14/2023,0.4299
07/15/2023,0.4329
07/16/2023,0.4264
07/17/2023,0.414
07/18/2023,0.4006
07/19/2023,0.3809
07/20/2023,0.3802
07/21/2023,0.4006
07/22/2023,0.4054
07/23/2023,0.4054
07/24/2023,0.4069
07/25/2023,0.4059
07/26/2023,0.4057
07/27/2023,0.3996
07/28/2023,0.3976
07/29/2023,0.3946
07/30/2023,0.3854
07/31/2023,0.386
08/01/2023,0.383
08/02/2023,0.3782
08/03/2023,0.3919
08/04/2023,0.4242
08/05/2023,0.4391
08/06/2023,0.4669
08/07/2023,0.4658
08/08/2023,0.4826
08/09/2023,0.4575
08/10/2023,0.4591
08/11/2023,0.455
08/12/2023,0.4545
08/13/2023,0.4488
08/14/2023,0.446
08/15/2023,0.4422
08/16/2023,0.4212
08/17/2023,0.4169
08/18/2023,0.4025
08/19/2023,0.3938
08/20/2023,0.4
08/21/2023,0.4013
08/22/2023,0.4197
08/23/2023,0.4083
08/24/2023,0.4105
08/25/2023,0.4136
08/26/2023,0.4096
08/27/2023,0.4172
08/28/2023,0.4106
08/29/2023,0.4137
08/30/2023,0.4115
08/31/2023,0.4154
09/01/2023,0.4204
09/02/2023,0.4181
09/03/2023,0.4207
09/04/2023,0.4255
09/05/2023,0.4293
09/06/2023,0.4278
09/07/2023,0.4264
09/08/2023,0.4354
09/09/2023,0.4312
09/10/2023,0.4402
09/11/2023,0.4352
09/12/2023,0.4233
09/13/2023,0.4254
09/14/2023,0.4267
09/15/2023,0.4212
09/16/2023,0.4279
09/17/2023,0.4288
09/18/2023,0.4278
09/19/2023,0.4283
09/20/2023,0.4286
09/21/2023,0.4382
09/22/2023,0.4459
09/23/2023,0.472
09/24/2023,0.478
09/25/2023,0.4719
09/26/2023,0.4731
09/27/2023,0.4834
09/28/2023,0.4848
09/29/2023,0.493
09/30/2023,0.4899
10/01/2023,0.4742
10/02/2023,0.487
10/03/2023,0.4913
10/04/2023,0.5083
10/05/2023,0.5247
10/06/2023,0.5533
10/07/2023,0.5805
10/08/2023,0.5621
10/09/2023,0.5435
10/10/2023,0.5478
10/11/2023,0.5224
10/12/2023,0.5142
10/13/2023,0.5136
10/14/2023,0.5161
10/15/2023,0.5151
10/16/2023,0.5179
10/17/2023,0.5234
10/18/2023,0.5543
10/19/2023,0.5279
10/20/2023,0.5235
10/21/2023,0.5148
10/22/2023,0.506
10/23/2023,0.5043
10/24/2023,0.4928
10/25/2023,0.4896
10/26/2023,0.4772
10/27/2023,0.4739
10/28/2023,0.4673
10/29/2023,0.4622
10/30/2023,0.4565
10/31/2023,0.459
11/01/2023,0.4391
11/02/2023,0.4301
11/03/2023,0.4319
11/04/2023,0.423
11/05/2023,0.4108
11/06/2023,0.4001
11/07/2023,0.4059
11/08/2023,0.4309
11/09/2023,0.4184
11/10/2023,0.4126
11/11/2023,0.3958
11/12/2023,0.3931
11/13/2023,0.3841
11/14/2023,0.3851
11/15/2023,0.3784
11/16/2023,0.3714
11/17/2023,0.3729
11/18/2023,0.3657
11/19/2023,0.3715
11/20/2023,0.3646
11/21/2023,0.3568
11/22/2023,0.3594
11/23/2023,0.3609
11/24/2023,0.3542
11/25/2023,0.3419
11/26/2023,0.3415
11/27/2023,0.3388
11/28/2023,0.3358
11/29/2023,0.3316
11/30/2023,0.3528
12/01/2023,0.3793
12/02/2023,0.3661
12/03/2023,0.357
12/04/2023,0.3464
12/05/2023,0.3372
12/06/2023,0.3312
12/07/2023,0.3334
12/08/2023,0.3164
12/09/2023,0.3091
12/10/2023,0.3163
12/11/2023,0.3148
12/12/2023,0.3087
12/13/2023,0.2914
12/14/2023,0.3053
12/15/2023,0.3315
12/16/2023,0.3185
12/17/2023,0.3201
12/18/2023,0.3035
12/19/2023,0.3066
12/20/2023,0.3031
12/21/2023,0.2926
12/22/2023,0.2906
12/23/2023,0.2858
12/24/2023,0.2883
12/25/2023,0.2707
12/26/2023,0.2735
12/27/2023,0.2679
12/28/2023,0.271
12/29/2023,0.2602
12/30/2023,0.2537
12/31/2023,0.2581
01/01/2024,0.2595
01/02/2024,0.2625
01/03/2024,0.2515
01/04/2024,0.2546
01/05/2024,0.2565
01/06/2024,0.2541
01/07/2024,0.2581
01/08/2024,0.2775
01/09/2024,0.2761
01/10/2024,0.2871
01/11/2024,0.2848
01/12/2024,0.2876
01/13/2024,0.2958
01/14/2024,0.2913
01/15/2024,0.2821
01/16/2024,0.281
01/17/2024,0.2733
01/18/2024,0.2706
01/19/2024,0.2739
01/20/2024,0.2861
01/21/2024,0.294
01/22/2024,0.2935
01/23/2024,0.2942
01/24/2024,0.3036
01/25/2024,0.3246
01/26/2024,0.3263
01/27/2024,0.3337
01/28/2024,0.3302
01/29/2024,0.3234
01/30/2024,0.3315
01/31/2024,0.3276
02/01/2024,0.3264
02/02/2024,0.3228
02/03/2024,0.323
02/04/2024,0.3207
02/05/2024,0.32
02/06/2024,0.3163
02/07/2024,0.3177
02/08/2024,0.3058
02/09/2024,0.3015
02/10/2024,0.3013
02/11/2024,0.3015
02/12/2024,0.2966
02/13/2024,0.2988
02/14/2024,0.2952
02/15/2024,0.2863
02/16/2024,0.2985
02/17/2024,0.2898
02/18/2024,0.2891
02/19/2024,0.2945
02/20/2024,0.3004
02/21/2024,0.3088
02/22/2024,0.3132
02/23/2024,0.3072
02/24/2024,0.3046
02/25/2024,0.3218
02/26/2024,0.3241
02/27/2024,0.3275
02/28/2024,0.3381
02/29/2024,0.3176
03/01/2024,0.3133
03/02/2024,0.3133
03/03/2024,0.3228
03/04/2024,0.3387
03/05/2024,0.3392
03/06/2024,0.321
03/07/2024,0.3243
03/08/2024,0.3306
03/09/2024,0.3377
03/10/2024,0.3483
03/11/2024,0.3704
03/12/2024,0.3768
03/13/2024,0.3759
03/14/2024,0.3568
03/15/2024,0.3606
03/16/2024,0.3605
03/17/2024,0.357
03/18/2024,0.3668
03/19/2024,0.3547
03/20/2024,0.348
03/21/2024,0.3542
03/22/2024,0.3663
03/23/2024,0.3522
03/24/2024,0.3541
03/25/2024,0.3528
03/26/2024,0.3444
03/27/2024,0.3408
03/28/2024,0.3404
03/29/2024,0.3393
03/30/2024,0.3391
03/31/2024,0.3592
04/01/2024,0.3583
04/02/2024,0.4047
04/03/2024,0.4656
04/04/2024,0.5685
04/05/2024,0.5362
04/06/2024,0.5935
04/07/2024,0.717
04/08/2024,0.6693
04/09/2024,0.6474
04/10/2024,0.5988
04/11/2024,0.664
04/12/2024,0.6327
04/13/2024,0.5801
04/14/2024,0.6552
04/15/2024,0.6488
04/16/2024,0.6482
04/17/2024,0.6625
04/18/2024,0.6936
04/19/2024,0.6859
04/20/2024,0.6759
04/21/2024,0.6625
