"DateTime","ETH Volatility"
"2023-09-17 03:00:00",38.95
"2023-09-18 03:00:00",38.67
"2023-09-19 03:00:00",39.95
"2023-09-20 03:00:00",39.88
"2023-09-21 03:00:00",37.78
"2023-09-22 03:00:00",39.31
"2023-09-23 03:00:00",34.8
"2023-09-24 03:00:00",36.86
"2023-09-25 03:00:00",38.22
"2023-09-26 03:00:00",38.8
"2023-09-27 03:00:00",37.64
"2023-09-28 03:00:00",35.25
"2023-09-29 03:00:00",42.57
"2023-09-30 03:00:00",37.5
"2023-10-01 03:00:00",38.41
"2023-10-02 03:00:00",39.15
"2023-10-03 03:00:00",39.82
"2023-10-04 03:00:00",40.17
"2023-10-05 03:00:00",38.68
"2023-10-06 03:00:00",38.35
"2023-10-07 03:00:00",37.5
"2023-10-08 03:00:00",37.6
"2023-10-09 03:00:00",40.13
"2023-10-10 03:00:00",40.46
"2023-10-11 03:00:00",39.66
"2023-10-12 03:00:00",40.79
"2023-10-13 03:00:00",40.85
"2023-10-14 03:00:00",40.19
"2023-10-15 03:00:00",39.9
"2023-10-16 03:00:00",40.28
"2023-10-17 03:00:00",40.94
"2023-10-18 03:00:00",37.83
"2023-10-19 03:00:00",38.29
"2023-10-20 03:00:00",37.83
"2023-10-21 03:00:00",40.67
"2023-10-22 03:00:00",43.84
"2023-10-23 03:00:00",48.09
"2023-10-24 03:00:00",51.09
"2023-10-25 03:00:00",53.32
"2023-10-26 03:00:00",52.99
"2023-10-27 03:00:00",52.98
"2023-10-28 03:00:00",47.2
"2023-10-29 03:00:00",49.57
"2023-10-30 02:00:00",52.86
"2023-10-31 02:00:00",53.89
"2023-11-01 02:00:00",55.77
"2023-11-02 02:00:00",58.87
"2023-11-03 02:00:00",59.06
"2023-11-04 02:00:00",58.32
"2023-11-06 02:00:00",64.04
"2023-11-07 02:00:00",60.71
"2023-11-08 02:00:00",58.38
"2023-11-09 02:00:00",59.02
"2023-11-10 02:00:00",67.25
"2023-11-11 02:00:00",60.88
"2023-11-12 02:00:00",62.33
"2023-11-13 02:00:00",63.33
"2023-11-14 02:00:00",65.53
"2023-11-15 02:00:00",64.49
"2023-11-16 02:00:00",67.31
"2023-11-17 02:00:00",61.97
"2023-11-18 02:00:00",60.3
"2023-11-19 02:00:00",58.19
"2023-11-20 02:00:00",60.47
"2023-11-21 02:00:00",60.21
"2023-11-22 02:00:00",58.72
"2023-11-23 02:00:00",58.34
"2023-11-24 02:00:00",57.32
"2023-11-25 02:00:00",57.35
"2023-11-26 02:00:00",57.27
"2023-11-27 02:00:00",56.82
"2023-11-28 02:00:00",52.39
"2023-11-29 02:00:00",51.68
"2023-11-30 02:00:00",53.13
"2023-12-01 02:00:00",53.24
"2023-12-02 02:00:00",54.59
"2023-12-03 02:00:00",58.49
"2023-12-04 02:00:00",58.26
"2023-12-05 02:00:00",58.62
"2023-12-06 02:00:00",61.1
"2023-12-07 02:00:00",58.16
"2023-12-08 02:00:00",60.32
"2023-12-09 02:00:00",61.02
"2023-12-10 02:00:00",59.62
"2023-12-11 02:00:00",60.13
"2023-12-12 02:00:00",64.36
"2023-12-13 02:00:00",60.57
"2023-12-14 02:00:00",60.15
"2023-12-15 02:00:00",60.66
"2023-12-16 02:00:00",56.89
"2023-12-17 02:00:00",58.73
"2023-12-18 02:00:00",59.92
"2023-12-19 02:00:00",60.58
"2023-12-20 02:00:00",61.53
"2023-12-21 02:00:00",59.16
"2023-12-22 02:00:00",60.83
"2023-12-23 02:00:00",63.26
"2023-12-24 02:00:00",64.25
"2023-12-25 02:00:00",64.84
"2023-12-26 02:00:00",62.3
"2023-12-27 02:00:00",63.57
"2023-12-28 02:00:00",70.86
"2023-12-29 02:00:00",69.48
"2023-12-30 02:00:00",69.49
"2023-12-31 02:00:00",72.37
"2024-01-01 02:00:00",73.23
"2024-01-02 02:00:00",73.39
"2024-01-03 02:00:00",71.42
"2024-01-04 02:00:00",71.82
"2024-01-05 02:00:00",72.7
"2024-01-06 02:00:00",74.21
"2024-01-07 02:00:00",76.04
"2024-01-08 02:00:00",78.09
"2024-01-09 02:00:00",72.99
"2024-01-10 02:00:00",72.95
"2024-01-11 02:00:00",73.38
"2024-01-12 02:00:00",68.5
"2024-01-13 02:00:00",68.66
"2024-01-14 02:00:00",67.3
"2024-01-15 02:00:00",68.66
"2024-01-16 02:00:00",65.73
"2024-01-17 02:00:00",64.66
"2024-01-18 02:00:00",56.46
"2024-01-19 02:00:00",49.91
"2024-01-20 02:00:00",49.32
"2024-01-21 02:00:00",48.15
"2024-01-22 02:00:00",48.12
"2024-01-23 02:00:00",49.37
"2024-01-24 02:00:00",54.15
"2024-01-25 02:00:00",49.36
"2024-01-26 02:00:00",49
"2024-01-27 02:00:00",45.83
"2024-01-28 02:00:00",46.1
"2024-01-29 02:00:00",47.71
"2024-01-30 02:00:00",48.12
"2024-01-31 02:00:00",50.32
"2024-02-01 02:00:00",48.32
"2024-02-02 02:00:00",47.86
"2024-02-03 02:00:00",45.42
"2024-02-04 02:00:00",44.22
"2024-02-05 02:00:00",44.97
"2024-02-06 02:00:00",44.18
"2024-02-07 02:00:00",47.11
"2024-02-08 02:00:00",47.51
"2024-02-09 02:00:00",48.68
"2024-02-10 02:00:00",51.82
"2024-02-11 02:00:00",51.39
"2024-02-12 02:00:00",53.4
"2024-02-13 02:00:00",58.91
"2024-02-14 02:00:00",55.6
"2024-02-15 02:00:00",60.95
"2024-02-16 02:00:00",61.73
"2024-02-17 02:00:00",59.89
"2024-02-18 02:00:00",61.04
"2024-02-19 02:00:00",65.18
"2024-02-20 02:00:00",63.26
"2024-02-21 02:00:00",62.71
"2024-02-22 02:00:00",62.38
"2024-02-23 02:00:00",63.47
"2024-02-24 02:00:00",60.85
"2024-02-25 02:00:00",62.99
"2024-02-26 02:00:00",65.67
"2024-02-27 02:00:00",63.86
"2024-02-28 02:00:00",64.68
"2024-02-29 02:00:00",70.86
"2024-03-01 02:00:00",70.15
"2024-03-02 02:00:00",70.6
"2024-03-03 02:00:00",71.12
"2024-03-04 02:00:00",77.83
"2024-03-05 02:00:00",78.18
"2024-03-06 02:00:00",79.38
"2024-03-07 02:00:00",81.56
"2024-03-08 02:00:00",77.13
"2024-03-09 02:00:00",78.41
"2024-03-10 02:00:00",79.18
"2024-03-11 02:00:00",82.62
"2024-03-12 02:00:00",87.89
"2024-03-13 02:00:00",77.96
"2024-03-14 02:00:00",76.29
"2024-03-15 02:00:00",75.48
"2024-03-16 02:00:00",79.01
"2024-03-17 02:00:00",81.99
"2024-03-18 02:00:00",80.5
"2024-03-19 02:00:00",77.95
"2024-03-20 02:00:00",86.67
"2024-03-21 02:00:00",81.22
"2024-03-22 02:00:00",81.6
"2024-03-23 02:00:00",79.99
"2024-03-24 02:00:00",81.12
"2024-03-25 02:00:00",78.61
"2024-03-26 02:00:00",80.78
"2024-03-27 02:00:00",82.07
"2024-03-28 02:00:00",84.18
"2024-03-29 02:00:00",83.88
"2024-03-30 02:00:00",82.01
"2024-03-31 02:00:00",82.71
"2024-04-01 03:00:00",83.5
"2024-04-02 03:00:00",81.55
"2024-04-03 03:00:00",81.21
"2024-04-04 03:00:00",78.52
"2024-04-05 03:00:00",77.07
"2024-04-06 03:00:00",74.67
"2024-04-07 03:00:00",74.69
"2024-04-08 03:00:00",81.39
"2024-04-09 03:00:00",81.46
"2024-04-10 03:00:00",79.22
"2024-04-11 03:00:00",76.63
"2024-04-12 03:00:00",74.38
"2024-04-13 03:00:00",72.56
"2024-04-14 03:00:00",82.98
"2024-04-15 03:00:00",80.76
"2024-04-16 03:00:00",77.33
"2024-04-17 03:00:00",80.92
"2024-04-18 03:00:00",81.22
"2024-04-19 03:00:00",78.26
"2024-04-20 03:00:00",78.27
"2024-04-21 03:00:00",79.83
"2024-04-22 03:00:00",77.97
"2024-04-23 03:00:00",78.09
"2024-04-24 03:00:00",74.29
"2024-04-25 03:00:00",73.17
"2024-04-26 03:00:00",71.15
"2024-04-27 03:00:00",70.5
"2024-04-28 03:00:00",70.65
"2024-04-29 03:00:00",69.29
"2024-04-30 03:00:00",66.27
"2024-05-01 03:00:00",76.24
"2024-05-02 03:00:00",78.59
"2024-05-03 03:00:00",69.86
"2024-05-04 03:00:00",69.91
"2024-05-05 03:00:00",71.76
"2024-05-06 03:00:00",72.46
"2024-05-07 03:00:00",70
"2024-05-08 03:00:00",67.8
"2024-05-09 03:00:00",66.14
"2024-05-10 03:00:00",65.09
"2024-05-11 03:00:00",66.65
"2024-05-12 03:00:00",64.3
"2024-05-13 03:00:00",65.21
"2024-05-14 03:00:00",66.75
"2024-05-15 03:00:00",66.37
"2024-05-16 03:00:00",65.59
"2024-05-17 03:00:00",65.64
"2024-05-18 03:00:00",63.23
"2024-05-19 03:00:00",64.34
"2024-05-20 03:00:00",65.99
"2024-05-21 03:00:00",82.88
"2024-05-22 03:00:00",83.26
"2024-05-23 03:00:00",80.53
"2024-05-24 03:00:00",69.7
"2024-05-25 03:00:00",67.14
"2024-05-26 03:00:00",67.63
"2024-05-27 03:00:00",71.28
"2024-05-28 03:00:00",68.43
"2024-05-29 03:00:00",68.64
"2024-05-30 03:00:00",69.56
"2024-06-01 03:00:00",68.68
"2024-06-02 03:00:00",70.34
"2024-06-03 03:00:00",69.2
"2024-06-04 03:00:00",67.13
"2024-06-05 03:00:00",67.36
"2024-06-06 03:00:00",69.98
"2024-06-07 03:00:00",64.68
"2024-06-08 03:00:00",63.48
"2024-06-09 03:00:00",63.74
"2024-06-10 03:00:00",64.49
"2024-06-11 03:00:00",64.18
"2024-06-12 03:00:00",66.68
"2024-06-13 03:00:00",64.31
"2024-06-14 03:00:00",62.84
"2024-06-15 03:00:00",62.63
"2024-06-16 03:00:00",64.75
"2024-06-17 03:00:00",65.46
"2024-06-18 03:00:00",62.93
"2024-06-19 03:00:00",65.81
"2024-06-20 03:00:00",67.36
"2024-06-21 03:00:00",65.86
"2024-06-22 03:00:00",64.42
"2024-06-23 03:00:00",64.48
"2024-06-24 03:00:00",67.76
"2024-06-25 03:00:00",65.92
"2024-06-26 03:00:00",63.4
"2024-06-27 03:00:00",61.12
"2024-06-28 03:00:00",63.42
"2024-06-29 03:00:00",60.32
"2024-06-30 03:00:00",59.29
"2024-07-01 03:00:00",60.19
"2024-07-02 03:00:00",61.48
"2024-07-03 03:00:00",58.21
"2024-07-04 03:00:00",60.04
"2024-07-05 03:00:00",62.88
"2024-07-06 03:00:00",66.77
"2024-07-07 03:00:00",65.4
"2024-07-08 03:00:00",66.65
"2024-07-09 03:00:00",68.91
"2024-07-10 03:00:00",66.4
"2024-07-11 03:00:00",64.63
"2024-07-12 03:00:00",63.48
"2024-07-13 03:00:00",60.52
"2024-07-14 03:00:00",61.26
"2024-07-15 03:00:00",62.01
"2024-07-16 03:00:00",67.35
"2024-07-17 03:00:00",66.98
"2024-07-18 03:00:00",69.18
"2024-07-19 03:00:00",67.44
"2024-07-20 03:00:00",67.98
"2024-07-21 03:00:00",69.61
"2024-07-22 03:00:00",72.41
"2024-07-23 03:00:00",70.48
"2024-07-24 03:00:00",67.42
"2024-07-25 03:00:00",64.87
"2024-07-26 03:00:00",67.94
"2024-07-27 03:00:00",64.68
"2024-07-28 03:00:00",63.09
"2024-07-29 03:00:00",61.5
"2024-07-30 03:00:00",59.19
"2024-07-31 03:00:00",57.99
"2024-08-01 03:00:00",56.74
"2024-08-02 03:00:00",56.52
"2024-08-03 03:00:00",59.52
"2024-08-04 03:00:00",62.66
"2024-08-05 03:00:00",70.15
"2024-08-06 03:00:00",79.36
"2024-08-07 03:00:00",80.17
"2024-08-08 03:00:00",74.27
"2024-08-09 03:00:00",74.34
"2024-08-10 03:00:00",74.91
"2024-08-11 03:00:00",77.78
"2024-08-12 03:00:00",76.78
"2024-08-13 03:00:00",75.33
"2024-08-14 03:00:00",72.07
"2024-08-15 03:00:00",70.14
"2024-08-16 03:00:00",67.28
"2024-08-17 03:00:00",67.2
"2024-08-18 03:00:00",69.36
"2024-08-19 03:00:00",67.46
"2024-08-20 03:00:00",67.41
"2024-08-21 03:00:00",66.89
"2024-08-22 03:00:00",65.21
"2024-08-23 03:00:00",65.87
"2024-08-24 03:00:00",65.25
"2024-08-25 03:00:00",64.65
"2024-08-26 03:00:00",63.85
"2024-08-27 03:00:00",67.02
"2024-08-28 03:00:00",66.39
"2024-08-29 03:00:00",66.1
"2024-08-30 03:00:00",66.77
"2024-08-31 03:00:00",65.18
"2024-09-01 03:00:00",68.9
"2024-09-02 03:00:00",67.63
"2024-09-03 03:00:00",69.97
"2024-09-04 03:00:00",70.77
"2024-09-05 03:00:00",71.77
"2024-09-06 03:00:00",75.39
"2024-09-07 03:00:00",74.05
"2024-09-08 03:00:00",73.68
"2024-09-09 03:00:00",72.52
"2024-09-10 03:00:00",72.35
"2024-09-11 03:00:00",69.88
"2024-09-12 03:00:00",66.4
"2024-09-13 03:00:00",65.98
"2024-09-14 03:00:00",64.5
"2024-09-15 03:00:00",64.49
"2024-09-16 03:00:00",67.44